symbol,date,open,high,low,close,volume,adj_close
AAPL,2024-01-02,187.15,188.44,185.19,185.64,37149570,184.88
AAPL,2024-01-03,184.95,186.95,184.01,184.25,42841780,183.50
AAPL,2024-01-04,182.09,185.77,181.23,181.91,58311760,181.17
AAPL,2024-01-05,181.99,182.76,180.17,181.18,66628070,180.44
AAPL,2024-01-08,179.20,186.00,178.88,185.56,62199000,184.80
AAPL,2024-01-09,189.84,192.93,184.00,185.14,68750830,184.38
AAPL,2024-01-10,185.64,187.05,182.73,184.40,49947660,183.64
AAPL,2024-01-11,186.06,186.74,182.65,185.92,53046540,185.16
AAPL,2024-01-12,189.98,196.95,184.50,185.82,81235240,185.06
GOOGL,2024-01-02,138.47,140.70,138.32,139.69,25951200,139.69
GOOGL,2024-01-03,139.89,141.48,138.76,140.93,22613800,140.93
GOOGL,2024-01-04,141.18,141.88,139.03,140.45,27453320,140.45
GOOGL,2024-01-05,140.55,142.37,139.77,140.25,36538200,140.25
GOOGL,2024-01-08,140.55,143.61,139.64,142.56,36861600,142.56
GOOGL,2024-01-09,142.36,143.23,141.05,142.65,26309000,142.65
GOOGL,2024-01-10,143.08,144.58,141.35,142.19,32606600,142.19
GOOGL,2024-01-11,142.44,143.75,141.56,143.58,29053800,143.58
GOOGL,2024-01-12,144.87,149.30,143.71,148.07,45202600,148.07
MSFT,2024-01-02,375.41,375.61,372.55,373.84,20570200,371.55
MSFT,2024-01-03,373.89,374.89,370.26,372.78,23856800,370.49
MSFT,2024-01-04,372.19,375.12,370.01,373.60,23748200,371.31
MSFT,2024-01-05,372.91,373.74,366.90,368.68,26160500,366.42
MSFT,2024-01-08,367.00,373.74,365.98,372.39,28291400,370.11
MSFT,2024-01-09,375.99,380.77,374.24,376.04,28642100,373.74
MSFT,2024-01-10,374.94,378.25,371.01,376.53,25746000,374.22
MSFT,2024-01-11,377.84,379.39,374.66,376.04,24264900,373.74
MSFT,2024-01-12,378.16,386.75,376.75,384.30,41009300,381.96
TSLA,2024-01-02,251.04,251.70,245.13,248.42,46906800,248.42
TSLA,2024-01-03,248.84,250.28,237.50,238.45,58239000,238.45
TSLA,2024-01-04,238.86,248.73,237.50,237.93,50172600,237.93
TSLA,2024-01-05,238.37,248.12,238.37,238.74,47317200,238.74
TSLA,2024-01-08,240.83,243.48,233.92,240.45,47471200,240.45
TSLA,2024-01-09,241.00,244.74,240.13,244.12,38043500,244.12
TSLA,2024-01-10,243.44,245.61,240.83,241.05,39471100,241.05
TSLA,2024-01-11,243.49,248.22,240.30,242.68,40524700,242.68
TSLA,2024-01-12,248.78,252.75,243.18,252.64,81116300,252.64